property_id,suburb,address,Postcode,source_url,sale_price,sale_date,prev_sale_price,prev_sale_date,property_type,bedrooms,bathrooms,car_spaces,Pool,land_size_m2,building_size_m2,year_built,auction_type,Storeys,renovated,listing_description,Realtor,flag_notes,Unnamed: 23,Unnamed: 24,sale_year,sale_month,property_age,years_since_prev_sale,price_growth_pct,price_per_m2,desc_word_count,desc_length,luxury_word_count
EP011,Epping,"77 Chester Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-150133412,3305000.0,2026-02-25,2820000.0,2022-08-27,House,5,2,2.0,0.0,993.0,275.0,,No,1,0.0,Timeless Family Home on 992.7sqm in Blue-Ribbon Epping,"Prior sale in 2022 for $2,820,000 per Property Value history",Ray White - Epping,,,2026,2,29.0,3.4989733059548254,17.19858156028369,3328.2980866062435,8,54,0
EP012,Epping,"29 Somerset Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-149125348,1925000.0,2026-02-05,,,House,3,2,3.0,0.0,817.0,284.0,,No,2,0.0,Rare Opportunity on 817sqm with 25m Frontage,,Ray White Horizon Group - North,,,2026,2,29.0,,,2356.181150550796,7,44,1
EP013,Epping,"8A Lomax Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-epping-149494544,2328888.0,2026-01-21,1500000.0,2019-06-13,Duplex/semi-detached,5,4,2.0,0.0,439.0,231.0,2019.0,No,2,0.0,"Spacious and whisper-quiet, moments from the heart of Epping and Carlingford",Property Value section shows sold date as 14 Jan 2026 (differs from listing's 21 Jan 2026),Uniland Real Estate | Epping - Castle Hill,,,2026,1,7.0,6.609171800136893,55.2592,5304.984054669704,11,76,0
EP014,Epping,"6/110 Midson Road, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-villa-nsw-epping-149920620,1716000.0,2026-01-17,1155000.0,2018-10-23,Villa,3,1,2.0,0.0,302.0,241.0,,Super Saturday auction,1,0.0,Enticing full brick family villa of outstanding space and privacy,,McGrath Epping,,,2026,1,29.0,7.236139630390143,48.57142857142857,5682.119205298013,10,65,0
EP015,Epping,"2C Treeview Place, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-149231748,3388000.0,2026-01-15,3388000.0,2025-12-31,House,5,3,3.0,0.0,500.3,190.0,,No,4,0.0,"Designed for exceptional entertaining, crafted for flawless living","Property Value section shows sold date as 31 Dec 2025 (differs from listing's 15 Jan 2026); leased for $1,900/week in Mar 2026 after sale",Uniland Real Estate | Epping - Castle Hill,,,2026,1,29.0,0.04106776180698152,0.0,6771.936837897261,8,66,1
EP016,Epping,"43 Hillcrest Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-149643892,3338888.0,2025-12-16,2120000.0,2014-12-13,House,5,3,2.0,1.0,878.0,299.0,,No,2,0.0,An Elegant Creation Perfectly Positioned for Convenience,,Uniland Real Estate | Epping - Castle Hill,,,2025,12,29.0,11.008898015058179,57.49471698113208,3802.8337129840547,7,56,1
EP017,Epping,"22/40-42 Stanley Road, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-townhouse-nsw-epping-149402300,1850000.0,2025-12-10,505000.0,2002-07-13,Townhouse,4,2,2.0,0.0,,267.0,,No,2,0.0,Bright East-Facing Duplex-Style Townhouse With Rare Privacy,"Property Value section shows sold date as 5 Dec 2025 (differs from listing's 10 Dec 2025); land size of 10,294m2 reflects whole complex, not individual lot (left blank)",Ray White - Epping,,,2025,12,29.0,23.411362080766597,266.33663366336634,,7,59,1
EP018,Epping,"3/2A Hillside Crescent, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-townhouse-nsw-epping-149562772,1748000.0,2025-11-30,1070000.0,2015-10-10,Townhouse,4,2,2.0,0.0,266.0,144.0,,No,2,1.0,New Renovated Townhouse in a Coveted Epping Enclave,,Uniland Real Estate | Epping - Castle Hill,,,2025,11,29.0,10.140999315537304,63.36448598130842,6571.428571428572,8,51,0
EP019,Epping,"146A Pennant Parade, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-149207520,2830000.0,2025-10-23,,,House,5,5,2.0,1.0,464.0,461.0,,No,2,0.0,Sold - David Pisano,Property Value section shows land size as 461m2 (listing states 464m2) - minor rounding discrepancy,McGrath - Strathfield,,,2025,10,29.0,,,6099.137931034483,4,19,0
EP020,Epping,"4/28-34 Kent Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-townhouse-nsw-epping-149057844,1875000.0,2025-10-11,485000.0,2001-01-22,Townhouse,3,2,2.0,0.0,,248.0,,No,4,0.0,Oversized Modern Townhouse in Leafy Yet Central Parkside Pocket,"Land size (248m2) taken from listing's own Key Details; Property Value section shows 3,617m2 which reflects the whole complex, not the individual lot",McGrath Epping,,,2025,10,29.0,24.71731690622861,286.5979381443299,,9,63,0
